Stock,Name,Ticked,12,Month,5,Year,12,Month,5,Year,Last,Quarter,~,_Estimated,EPS,,
(Hover,for,1Y,Chart),Sales,Growth,Sales,Growth,EPS,Growth,EPS,Growth,EPS,Surprise,%,Growth,Next,Year
Monday,MNDY,38.21%,2300.00%,51.02%,,,,,,,,,,,,,
Coupang,PNG,21.21%,0.00%,600.00%,350.00%,,,,,,,,,,,,
Allstate,ALL,9.76%,38.53%,-105.97%,387.88%,18.27%,,,,,,,,,,,
MakeMyTrip,MMYT,28.53%,62.81%,255.56%,5.80%,,,,,,,,,,,,
Toast,TOST,37.23%,200.00%,-380.00%,,,,,,,,,,,,,
Chewy,CHWY,8.15%,212.76%,-900.00%,200.00%,40.63%,,,,,,,,,,,
Argenex,SE,ARGX,229.94%,150.56%,-1575.68%,,,,,,,,,,,,
Flutter,Entertainment,FLUT,117.76%,36.42%,,,,,,,,,,,,,
Alnylam,Pharmaceuticals,ALNY,183.96%,36157.49%,89.08%,-20.51%,,,,,,,,,,,
Avangrid,AGR,7.40%,27.68%,44.44%,-62.50%,81.48%,7.14%,,,,,,,,,,
Guidewire,Software,GWRE,10.37%,13.08%,-81.82%,80.00%,T755%,,,,,,,,,,
Brookfield,BN,437%,64.50%,-52.00%,71.43%,73.08%,11.72%,,,,,,,,,,
Zillow,ZG,2.69%,44.57%,68.42%,-181.82%,,,,,,,,,,,,
Zillow,Zz,2.69%,44.57%,68.42%,-181.82%,,,,,,,,,,,,
Rocket,RKT,7.07%,0.00%,66.67%,131.82%,,,,,,,,,,,,
CyberArk,Software,CYBR,25.26%,125.92%,-259.09%,60.00%,-76.42%,,,,,,,,,,
HDFC,Bank,HDB,111.71%,6.67%,59.18%,14.48%,,,,,,,,,,,
Natera,NTRA,27.38%,311.01%,56.52%,-51.02%,,,,,,,,,,,,
Fortinet,FINT,16.10%,194.03%,41.38%,485.71%,51.52%,6.47%,,,,,,,,,,
Takeda,Pharmaceutical,TAK,0.27%,78.41%,-178.57%,-113.10%,51.35%,2.45%,,,,,,,,,
